year,AT,BG,CZ,DE,EU27_2020,FR,HU,PL,RO,SE,SK
1995,42.9,20.3,34.2,40.5,40.4,43.9,40.3,37.4,27.8,46.1,39.2
1996,44.4,21.6,32.9,40.8,40.9,45.2,39.3,37.3,26.1,48.2,38.4
1997,45.1,29.3,33.2,40.8,41.2,45.3,37.8,36.9,26.6,48.5,36.6
1998,45.1,30.6,32.1,40.9,41.0,45.2,37.8,36.1,29.3,48.6,36.3
1999,44.7,33.3,32.8,41.6,41.5,46.0,38.5,35.7,31.4,48.9,35.1
2000,43.9,34.0,32.4,41.5,40.9,45.1,39.3,33.7,30.6,48.9,34.0
2001,45.4,32.7,32.2,39.5,40.0,45.0,38.1,33.7,29.0,46.8,33.0
2002,44.3,30.5,33.1,39.1,39.6,44.3,37.5,33.9,28.5,45.1,33.1
2003,43.9,30.7,33.9,39.5,39.6,44.2,37.4,33.4,28.9,45.7,33.1
2004,43.5,31.4,34.3,38.5,39.3,44.3,36.9,32.7,28.1,45.9,31.9
2005,42.3,30.8,34.2,38.5,39.5,44.6,36.5,33.7,28.7,46.9,31.6
2006,41.6,30.5,34.0,38.7,39.8,45.0,36.4,34.3,29.3,46.3,29.3
2007,41.7,30.3,34.5,38.8,39.9,44.5,39.2,35.3,28.9,45.3,29.1
2008,42.5,30.3,33.4,39.2,39.4,44.4,39.3,34.9,27.3,44.6,29.0
2009,42.1,26.5,32.5,39.6,39.0,44.0,38.8,32.1,25.8,44.3,28.9
2010,42.1,25.3,32.4,38.2,38.8,44.1,36.9,32.3,26.4,43.5,27.9
2011,42.2,25.3,33.6,38.7,39.3,45.2,36.4,32.7,26.9,42.6,29.0
2012,42.9,25.9,34.1,39.3,40.3,46.4,39.0,33.0,26.5,42.8,28.7
2013,43.8,28.0,34.6,39.6,40.8,47.3,38.5,33.1,27.4,43.1,30.9
2014,43.9,28.2,33.7,39.5,40.9,47.5,38.4,33.0,27.4,42.9,31.8
2015,44.2,28.7,33.9,39.8,40.6,47.5,38.7,33.1,28.0,43.4,32.5
2016,42.7,29.0,34.6,40.3,40.7,47.5,38.9,34.1,27.0,44.8,32.9
2017,42.8,29.7,34.8,40.5,40.8,48.3,37.8,34.7,25.9,45.0,33.8
2018,43.1,29.6,35.4,40.9,40.9,48.1,36.6,35.4,26.7,44.8,33.9
2019,43.3,30.3,35.2,41.2,40.8,47.1,36.0,35.4,26.6,43.6,34.5
2020,42.8,30.2,35.1,41.1,40.9,47.1,35.6,35.9,26.9,43.2,34.4
2021,43.8,30.4,34.7,41.8,41.0,46.7,33.5,37.0,27.1,43.8,34.9
2022,43.2,30.8,33.9,41.2,40.4,47.4,35.0,34.7,28.1,43.4,35.5
2023,42.9,29.8,33.8,39.9,39.7,45.4,34.9,35.7,27.4,42.4,35.2
2024,43.7,30.3,34.9,40.7,40.2,45.2,35.2,37.4,28.7,42.2,35.9
2025,,,,,,,,,,41.7,36.6
