year,BG,MD,PH,PL,RO
2000,0.439645886392482,13.7826722310316,8.27538844583698,0.864972241771312,0.257692251193537
2001,5.82510278574143,16.3580954622492,11.0996743274612,0.814812805215808,0.28716342423721
2002,7.17520179569465,19.4118710536305,11.5470364978462,0.843789042785606,0.310427525177069
2003,8.12716407407424,24.434256316304,11.7636795721571,1.04501609998106,0.214509178939295
2004,6.58607877728654,26.9939428415335,12.0713248541975,1.84337798896664,0.17472803848815
2005,5.40001641410676,30.621653152555,12.7839886627031,2.37231337470414,0.966725235612912
2006,4.99246421236666,34.4991746381553,12.1392347971869,2.76469080740655,0.951015102240038
2007,3.81162560003,33.8832385938611,10.538140162174,2.78672988322137,0.930347519900961
2008,3.52170748779969,31.1820776721655,10.3789187625683,2.30035908352248,0.794311370688723
2009,3.05974302145993,24.8619604986136,11.3422561884615,2.31666989337358,0.391971399276111
2010,2.62958166240581,25.1302427320706,10.3454184113586,1.61301242326501,0.377143482457979
2011,2.57135359261229,21.5478268033462,9.84286049520808,1.47163425999162,0.3603478606251
2012,2.66843216449466,22.8086850294921,9.39585704973622,1.41343352113926,0.409351035859985
2013,2.98635261212169,23.0768148398865,9.41055797221716,1.43907567915602,2.53203772880486
2014,3.00958830348375,22.0793458644557,9.64449879049469,1.37751878633013,2.5452952663767
2015,3.00175798105882,19.751035292269,9.72419552564766,1.42379780433298,3.03084180005794
2016,3.02087560670388,18.3841028050973,9.77380233956317,1.42902547123775,3.20026343931196
2017,3.51479244455412,17.2146358007248,9.98833927166016,1.38258875539887,3.11955294245231
2018,3.21069448751291,16.3337386523032,9.74765976052018,1.27863885453395,2.88843413726554
2019,3.11738537796153,16.2728382462381,9.33261353281524,1.24692257735652,3.25576428661723
2020,2.81676543082857,16.274922384411,9.64277376552078,1.22756646645785,3.0426851754726
2021,2.38261240314066,15.4787484391198,9.30892916286057,1.15051400179387,3.19771739842693
2022,2.31150029458411,14.0294158168182,9.40977059288243,1.08739487666547,2.97350172599786
2023,2.2372183910043,12.0387300286119,8.9455180769963,1.05114006470983,2.86550550052392
2024,2.3318173189881,10.5371328507027,8.72571015588724,0.946863310070558,2.490134665764
