year,exports_BG,exports_CZ,exports_HU,exports_PL,exports_RO,imports_BG,imports_CZ,imports_HU,imports_PL,imports_RO
2000,36.218856756011,47.8222277784723,66.7818415655251,27.0732197283645,21.58888431382,41.5268474034378,49.6761678543151,70.4804715279449,33.5375012139652,26.9324410712586
2001,34.8813174225009,48.6218413983162,64.7946703854209,27.0572580080351,22.105963469215,44.2000513252659,49.9150323317027,66.109043850966,30.8212732632544,29.8226275519331
2002,33.6473037196123,44.7797457982463,58.0673383688733,28.6233983013403,24.0130293587441,41.6223072947401,46.0995257474119,60.2019968736818,32.1734007560509,29.6972184551935
2003,34.4169458788193,46.5673230629568,56.3436633595853,33.2386667780391,24.2127350487918,44.5969394925382,48.0795370036041,60.4434251812765,35.9747812061398,31.9667919982326
2004,40.9566402727565,56.8994781682745,59.5641177697341,34.0621696099277,25.743936265036,52.1072576914266,56.2744978021405,64.0515683344399,36.9194069594885,34.8825424019048
2005,42.5295657507757,61.7588664473362,62.5215212771297,34.5254622754817,24.5352206061523,57.1846454619625,59.4324208687688,65.4832893704085,35.7860168147767,34.8253288429032
2006,46.9778786308931,64.8869825723489,73.8064864785301,37.6580412251077,24.7712264990404,64.0695841229168,62.164032482667,75.4250450899309,40.0427623151275,36.9123994274755
2007,52.3550343456585,66.150542351883,77.8221656386034,38.4711164171074,24.710829049515,71.1775233150947,63.7261971530059,77.7792667294669,42.2742826395837,38.7943276239508
2008,52.4776590469711,63.0342206340259,79.2039448630126,37.6687727009599,26.155499661561,72.2110884683881,60.870589295922,79.2492792526061,42.9059088559607,39.0197013363802
2009,42.2188500872454,58.4757844686548,74.3529496218046,37.0040504665451,26.022377022811,50.473795516392,54.5734703162206,70.9529277083853,37.9645460598818,32.4476813438419
2010,50.0980449379877,64.8915980155479,81.2535035455015,39.8922068463219,31.6415933092484,53.2824773832047,61.8648821012499,76.5854565403946,42.3336454756702,38.3133421840234
2011,58.7882075157955,70.2506376126123,86.1931503181868,42.31819097341,35.2366088533551,58.6298963704946,66.5002179298254,80.5611968917104,44.6054983103518,41.0347475882739
2012,60.3462746942784,75.1048104767256,86.0876097061215,44.0229016385965,35.708362986259,63.6250480198959,70.375384920209,80.088088903449,44.8070016680619,40.8859610051082
2013,64.5649786514052,75.5803954463061,85.3937852070622,45.7672881629144,40.2453636124718,65.1237043350767,69.9218351786551,79.0822395844044,44.6502190786485,41.1522495622465
2014,64.5508109503852,81.3510352122697,87.0271641102673,46.2206720325579,41.4767119396626,65.69756616486,75.0640876146159,81.3311909761454,45.8133476787599,41.8984310178575
2015,63.7864172382015,80.0125671431762,87.4348841373907,47.1616367257527,41.3491935848306,62.9502249747481,74.0058338544563,79.8558543571336,45.0937905484415,42.1713831168849
2016,63.8609305294392,78.108333006403,86.1114634598119,49.906428862355,42.4163351743737,58.9445838270742,70.4386716580323,77.8604810403383,46.9594739437073,43.4761931163147
2017,66.9905214172473,77.6844326231276,85.7461533449483,51.6925275786294,42.334274206143,62.6439076307563,70.066402231634,79.2867024953192,48.8733676676502,44.8217903606371
2018,65.9187143714344,75.6097814865591,83.3967795001256,52.232575443975,41.7841912043995,63.2477885591971,69.5319364042301,79.3040792777992,50.2098867240303,45.3069789051814
2019,64.3005878621409,72.1248511386482,81.065700696964,52.6128934811742,40.3352034270657,60.95983048427,66.0297588552233,78.8598557678669,48.9681403361987,44.5711596314136
2020,56.4751229374987,67.7609732344735,78.0879317443048,52.4338855199248,36.9711409958175,53.9487769087506,61.0194570714913,76.4390711920722,46.8252057104188,41.3905053604534
2021,61.8496057085399,70.550045142844,79.4114343821378,57.0379760723016,40.6943872735548,59.3644825552826,66.8280711600245,79.7760929506963,53.836306949643,46.3768092724597
2022,69.9794748927614,72.4094281428088,89.7719474858873,62.3525162455456,43.5131053942163,68.865402348477,71.6020659665878,95.2282566068112,60.6688166147992,50.4365455441284
2023,62.0049747441024,68.4031069284452,81.23463230178,57.8812710195434,39.2445975462886,57.8945312124535,63.489491367431,77.1511151656892,52.1436640222717,44.1307348599346
2024,56.3699620840938,68.8681514483249,75.3908902777126,52.1798133919011,35.6030266999465,53.8563524751163,62.6168296216274,71.1136712281889,48.1796294552629,41.6119570939538
