year,BG,CZ,EU27_2020,HU,PL,RO
2005,20.4,6.2,15.6,12.5,5.3,19.6
2006,17.3,5.1,15.2,12.5,5.4,17.9
2007,14.9,5.2,14.7,11.4,5.0,17.3
2008,14.8,5.6,14.3,11.7,5.0,15.9
2009,14.7,5.4,14.0,11.5,5.3,16.6
2010,12.6,4.9,13.8,10.8,5.4,19.3
2011,11.8,4.9,13.2,11.4,5.6,18.1
2012,12.5,5.5,12.6,11.8,5.7,17.8
2013,12.5,5.4,11.8,11.9,5.6,17.3
2014,12.9,5.5,11.1,11.4,5.4,18.1
2015,13.4,6.2,11.0,11.6,5.3,19.1
2016,13.8,6.6,10.6,12.4,5.2,18.5
2017,12.7,6.7,10.5,12.5,5.0,18.1
2018,12.7,6.2,10.5,12.4,4.8,16.4
2019,13.9,6.7,10.1,11.9,5.1,15.3
2020,12.8,7.6,10.0,12.0,5.3,15.6
2021,12.0,6.4,9.7,12.0,5.8,15.3
2022,10.3,6.2,9.6,12.2,4.7,15.6
2023,9.3,6.4,9.6,11.6,3.7,16.6
2024,8.2,5.4,9.4,10.3,4.1,16.8
2025,8.6,6.1,9.1,9.3,4.0,15.5
