year,BG,CZ,HU,PL,RO
2000,70.7,16.9,55.6,36.2,22.5
2001,64.5,22.6,52.2,37.1,25.9
2002,51.0,25.7,55.6,41.6,24.8
2003,43.4,28.1,58.2,46.4,22.1
2004,35.7,28.3,58.9,44.9,18.9
2005,26.6,27.7,60.6,46.5,15.9
2006,20.9,27.6,64.5,47.1,12.4
2007,16.3,27.3,65.6,44.4,11.9
2008,13.0,28.2,71.8,46.6,12.3
2009,13.7,33.4,78.2,49.7,21.8
2010,15.3,36.7,80.2,53.7,29.0
2011,15.2,39.4,80.5,54.8,32.3
2012,16.6,43.8,78.4,54.5,35.4
2013,17.0,44.1,77.2,56.9,37.8
2014,27.0,41.5,76.5,51.1,39.1
2015,25.9,39.5,75.7,51.1,37.7
2016,29.1,36.2,74.6,54.1,37.8
2017,25.1,33.8,72.0,50.4,35.3
2018,22.2,31.7,68.8,48.2,34.6
2019,20.1,29.6,65.0,45.2,35.2
2020,24.5,36.9,78.7,56.6,46.9
2021,23.8,40.7,76.2,53.0,48.6
2022,22.5,42.5,74.1,48.8,48.1
2023,22.9,42.2,73.3,49.5,49.3
2024,23.8,43.3,73.5,54.8,54.8
